,placeName,placeTags,numPeopleVisited,numPeopleWant,placeDesc,placeShortDesc,placeNearby,placeAdress,placeAlt,placeLong,placeEditors,placePubDate,placeRelatedList,placeRelatedPlace,placeURL
292,Colorado's Airplane Restaurant,"airplane graveyard,airplanes,restaurants",343,999,"Originally built in 1953, this intact Boeing KC-97 tanker—one of the largest propeller-driven aircraft ever made—was once used for refueling missions in Europe. In 2002, the airplane found a second life as the premier aviation restaurant in the United States.The owners of the Airplane Restaurant created a unique dining destination to draw in aviation buffs and share the history of the KC-97 tanker. The ex-Texas Air National Guard KC-97 mid-air refueling tanker was mated to the restaurant building with the port wing and the engine sticking through the wall and slicing through the “terminal” part of the restaurant. The wing serves as a place to mount lights and as a shelf for model airplanes and other aviation-related memorabilia.The giant gas tank was removed and the interior of the plane was flipped into a long, narrow dining room.  The tables are all covered with old aviation maps and charts and then laminated over.  The “crew” of the restaurant thanks you for flying with them and then offers a menu that is miles better than your typical airline fare. The cockpit and the tail of the aircraft have been left mostly intact and patrons can go sit in the pilot’s chair and imagine what it would be like to fly this behemoth of a piston driven airplane.  The tail has a mannequin dressed in 1950’s aircrew uniform demonstrating how it would look to be lowering the refueling boom to fuel up another aircraft while in flight.  It’s closed off with plexiglass but lit so everyone can see how it works.",This Boeing KC-97 tanker is now a restaurant for aviation lovers.  ,"Colorado Springs Pioneers Museum,Will Rogers Shrine of the Sun,Novis Mortem Collective","1665 Newport Rd Colorado Springs, Colorado United States",38.8067,-104.7263,toolmaker321alivetocurebq,2018-08-30 00:00:00,"Colorado Springs Pioneers Museum,Novis Mortem Collective,Will Rogers Shrine of the Sun,Starr Kempf's Kinetic Sculptures","Beautiful Betsy Crash Site,Ekranoplan Lun,Aviation Warehouse,Tehran Aerospace Exhibition Center",https://www.atlasobscura.com/places/colorado-airplane-restaurant
293,Letterform Archive,"art libraries,archive,libraries,design,collections,museums and collections,art",131,999,"A tiny library to cheer on the obscured beauty of type design, the Letterform Archive began as typography enthusiast Rob Saunders’ labor of love. He decided to open his collection to the public, and it only proliferated from there.Tucked into an airy San Francisco loft, the Archive invites design lovers to come celebrate the art of handwriting throughout history. It’s a collection of over 30,000 artifacts of typography, calligraphy, and graphic design, spanning from ancient times to modern-day.The Archive is equal parts museum, art gallery, and reference library. There are postcards, books, posters, newspapers, drawings, and of course, letters, as well as practically any other written format imaginable. The collection as a whole interrogates design in writing, both man- and machine-made. A 19th-century Korean family tree in Kanji script on yellowed parchment lives next to a 1960s concert handbill with drippy psychedelic font. Man Ray’s scintillating book of poetry and nudes, Facile, sits adjacent to a Victorian children’s penmanship primer.To truly understand the scope of the project, it has to be seen in person. The painstaking care put into a hand-painted frozen orange juice label from the turn of the century, or the spiderweb-thin lines of ink in an illuminated manuscript give a whole new appreciation for the stylization that went into designing standard fonts. The world of design can be inaccessible by its very nature (it’s not meant to stand out), but luckily for us, Letterform Archive has made its collection and discourse very open to the public.In 2019, the archive digitized more than 1,000 items, which are available online to members. Update as of August 2020: Letterform Archive has moved to a new and improved location and will be open again to the public once city officials deem it safe.",A library and museum dedicated to typography. ,"1852 South Beach Shoreline,San Francisco Center for the Book,'Gods and Goddesses of Baseball'","Letterform Archive 233 Third St Floor 4R  San Francisco, California, 94107  United States",37.7599,-122.3882,Molly McBride Jacobsonnamekellykatie c5d08947stewf,2016-09-09 00:00:00,"San Francisco Center for the Book,'Gods and Goddesses of Baseball',1852 South Beach Shoreline,Encryption Lava Lamps","Museo Robert Brady ,Clown Egg Register,Cuypers Library,Museo del Barro (Museum of Clay)",https://www.atlasobscura.com/places/letterform-archive
294,Myers House,"film,eccentric homes,homes,architectural oddities,architecture",106,1000,"The facade of the Myers family home from John Carpenter’s seminal 1978 slasher classic, Halloween is one of the most iconic locations in all of horror cinema, and one overachieving fan has gone to the trouble building his own version of it.Located in Hillsborough, North Carolina, the real life replica was built by Kenny Caperton, maybe the biggest Halloween fan of all time (after this move). The original Myers house used in the film is actually located in California, but when Caperton built his house, he could not locate the blueprints of the original, which was built in 1888. Nonetheless, he went to the film and faithfully recreated the interior as best he could, only updating it to be more livable, but keeping the corridors as tight and claustrophobic as in the film. The decorations have also been updated since Caperton and his wife actually live in the house, but an entire bookshelf alcove has been devoted to Caperton’s awesome collection of Halloween memorabilia, even including the masks from the much maligned, Michael-Myers-free third installment, Halloween III: Season of the Witch.Visitors are encouraged to come by around in October when the home is appropriately kitted out for the season. Keep in mind that this house is a private residence and unlike in Halloween, it is not totally rad when unexpected visitors show up.  ",One killer horror movie fan has built an exact recreation of Michael Myers' childhood home. ,"Bennett Place,Historic Occaneechee Speedway,Duke Lemur Center","Hillsborough, North Carolina, 27278 United States 35.9944, -79.1851Book a hotel on Kayak Visit Website NearbyHistoric Occaneechee Speedway7.63 milesBennett Place11.98 milesDuke Lemur Center12.36 miles",35.9944,-79.1851,EricGrundhauserjowensamuels95catherinineshannonjackson622,2015-10-14 00:00:00,"Historic Occaneechee Speedway,Bennett Place,Duke Lemur Center,V & E Simonetti Historic Tuba Collection","A Christmas Story House and Museum,Sculptured House ,Ennis House,Chemosphere",https://www.atlasobscura.com/places/myers-house
295,Church of St. Ursula,"ossuaries,relics,relics and reliquaries,saints,catacombs and crypts,sacred spaces",285,999,"The short version of the story goes a little something like this: Saint Ursula was a Roman-British Princess who, in the 300s, decided she would go on a pan-European pilgrimage. She packed a boat with her 11,000 virginal best friends—which immediately calls to question what kind of boat in the 300s could have fit 11,000 people on it—and the giggling virgins set out for Rome.In a miraculous turn of events, a freak storm blew the boat to Rome in a single day, and Ursula convinced the Pope and a few other religious figures to join them on their pilgrimage. Everything was going great until the ladies stopped in Cologne, where they were captured by the Huns—a sort of collective boogeyman plaguing Europe at the time. All 11,000 virgins were promptly beheaded and Ursula was shot dead.In 1155 a mass grave was found in Cologne—they had already found some remains claimed to be the virgins, but this was the jackpot - and it was assumed by the Church that this must be the gravesite of Ursula and the 11,000 virgins. The church, which was already dedicated to St. Ursula, was expanded to make room for the incredible amount of martyred virginal bones that it now needed to house.Known as the Goldene Kammer (Golden Chamber) it is still there today, a massive reliquary filled with dozens of head-busts containing skulls, arm reliquaries, and walls covered in bone. The chamber has been described as a “veritable tsunami of ribs, shoulder blades, and femurs… arranged in zigzags and swirls and even in the shapes of Latin words.” The church is overflowing with virginal bones, or with some type of bones anyway.Most historians, as well as the Catholic Church, agree that the story of Ursula is probably exaggerated—if not entirely fictional—particularly the number 11,000. Among the explanations is that there was indeed an Ursula who was traveling with 11 virgins, who were indeed martyred. This incident was then abbreviated as E.M.V., then misread by an overeager monk as 11,000. Another explanation is that Ursula was traveling with just one virgin who happened to be named Undecimilla, which read as 11,000. It is also possible that this was a story that had been kicking around in pre-Christian form for some time, and Ursula’s was just the latest incarnation.There is another argument to be made—that the Cologne church came up with the number 11,000 because it meant, for one, that the church would become an even hotter pilgrimage spot than it already was. What’s more, along with the church’s old Roman cemetery, the number 11,000 provided church officials with a nearly endless supply of saints and saintly reliquaries that they could sell for a tidy profit. The entire thing is a sort of early Christian tourist trap, complete with holy tchotchkes.Of course, if this is the case and there were no 11,000 virgins, whose bones are in the church? The answer seems to be everyone and anyone—women, children, men, and even dogs. A Cologne surgeon got in hot water with the church for pointing out that a couple of the head reliquaries contained the skulls, not of virgins, but of large mastiffs.Regardless of whether the bones are those of martyred virgins or regular Romans who happened to get dug up by eager relic-makers, nothing lessens the amazing look of the church or its fantastic reliquary, where skulls are adorned with garlands and coronets (some even retaining tufts of hair). The walls are covered in golden and silver reliquaries, gilded relics abound, and one wall is covered entirely in bone, spelling out the phrase “Holy Ursula, Pray For Us.” It is a truly amazing sight to behold.Ursula left her mark in other ways as well. Besides the Order of Ursulines founded in 1535 to teach young girls, the Virgin Islands were named after her and her band of 11,000 martyred virgins.",A church filled with the bones of hundreds of virgins martyrs—or so they say. ,"Chandelier Hall,St. Petersglocke,Papa Joe's Biersalon Klimperkasten","Ursulaplatz 24 Nordstadt Cologne, 50668",50.9458,6.9544,michellembisonAnnetta BlackmajoungingercinnamondollymaedaggersskyewritergingercinnamonTTheMarmosetpieofthemonthdollymaedaggermmbisonmmajounwytheAnnetta Black,2009-10-25 00:00:00,"St. Petersglocke,Chandelier Hall,Papa Joe's Biersalon Klimperkasten,Cologne's Love Locks Bridge","San Thome Basilica,Santa Maria dell'Orazione e Morte,The Relic Crypt of St. Helena at Église Saint-Leu-Saint-Gilles,The Skeletons of Waldsassen Basilica",https://www.atlasobscura.com/places/church-st-ursula
296,The Reading Pagoda,"pagodas,roadside attractions,architecture",714,999,"Originally the centerpiece of a planned luxury resort, the Pagoda in Reading, Pennsylvania, has become a symbol for the entire town.Built atop Mount Penn in 1908 by local quarry owner William A. Witman, the seven-story Japanese-inspired building was to be the main attraction at a tourist resort. Unfortunately, Witman was unable to obtain a liquor license and the project’s funds dried up, leaving the majestic pagoda as a strangely out-of-place oddity. In 1910, the building and its surrounding ten acres were given over to a local businessman who, recognizing the iconic influence the building was beginning to have on the community, sold the structure and its land to the city of Reading for the sum of $1.Despite some neglect owing to anti-Japanese sentiment during World War II, the city of Reading has restored and cared for the grounds ever since, and the pagoda has indeed become the symbol of the community and has even been put to practical use. Before radio telephony was widespread, lights on the building were used to communicate via Morse code to local emergency workers, and today those same lights flash to alert the children of Reading that Santa is on his way. The building is open for visitors who can take in the picturesque, panoramic view of the city and examine the 16th century Japanese bell that hangs in the top story of the building.The Reading Pagoda may have begun as a gaudy tourist attraction, but it now stands as a testament to a city finding its identity.  ",A failed piece of Orientalism has become the proud symbol of a community. ,"Daniel Boone Homestead,Crystal Cave,Witch's Hat Pavilion","98 Duryea Dr. Reading, Pennsylvania, 19602 United States",40.3361,-75.9056,mselizajaneMartindlc31723ickaimpJane Weinhardt Goldbergloverlee313Matthew H Wardlloverlee313jennsylvaniaMichael Buschdlc31723ickaimpJane Weinhardt GoldbergMMartinRachel,2015-12-21 00:00:00,"Witch's Hat Pavilion,Daniel Boone Homestead,Crystal Cave,Site of the Rhoads Opera House Fire","Pagoda Fine Jewelry,Palsangjeon,Sinsedong Seven-Story Brick Pagoda,Wongaksa Pagoda",https://www.atlasobscura.com/places/the-reading-pagoda-reading-pennsylvania
297,Abney Park Cemetery,"catacombs and crypts,cemeteries",386,999,"Although it is now somewhat overgrown, the original free-thinkers behind Abney Park Cemetery’s unusual design would likely actually be pleased to see their vision of a tree-filled parkland fulfilled.Abney Park was built on 32 acres as one of London’s “Magnificent Seven” Victorian-era park-cemeteries. More park than cemetery, Abney Park Cemetery began as an experiment in mixing the natural delights of an arboretum with a non-denominational burial ground. Specimen trees with names covering all the letters of the alphabet were planted in an informal layout, mixed with shrubs and flowering bushes. Burials were placed between plantings, with no divisions between members of different faiths.Comprised of Kensal Green, Highgate, West Norwood, Abney Park, Nunhead, Brompton and Tower Hamlets cemeteries, the Magnificent Seven were created in 1832 as part of an effort to move burials out of the City of London in response to the twin pressures of health concerns about overcrowded churchyard cemeteries and desires for buildable land in the rapidly expanding city.The design drew inspiration from the recently established Mount Auburn Cemetery near Boston, looking for ways both to mix a natural setting with design and symbolism that would promote its origins in the non-conformist movement. Its controversial Egyptian Revival gates provoked some disapproval, setting Abney Park’s style as distinctly different and more eclectic than the traditional NeoClassical or Gothic inspiration from which the other park cemeteries of the era were drawn.True to its original designers’ dreams, Abney Park has evolved into an urban woodland, home to mature trees and diverse fauna and flora. Closed to all but very rare burials, the property is now a Local Nature Reserve and Conservation Area, managed by the Abney Park Trust.","A historic arboretum and non-conformist, non-denominational park cemetery. ","Meeksville Sound Plaque,Clown Egg Register,St Augustine's Tower","Abney Park Cemetery Stoke Newington High Street London, England, N16",51.5648,-0.0781,Annetta BlackBlindcolourMartinSnowdrop68tealeavesmsromanyAlbertoMMelatoSnowdrop68ttealeavesBlindcolourmsromanynormaclydeMMartinRachel,2013-02-18 00:00:00,"Clown Egg Register,St Augustine's Tower,Meeksville Sound Plaque,Get Stuffed","Nagcarlan Underground Cemetery,Crypt of Dr. William Edward Minahan,Warstone Lane Cemetery Catacombs,Grave of W. B. Yeats",https://www.atlasobscura.com/places/abney-park-cemetery
298,Hollywood Heritage Museum,"film locations,film,collections,museums and collections,museums",235,1001,"First, the barn held horses. Then, film crews, a developing lab, and a gym where actors could bulk up and trim down. Now, it’s a museum tracing the history of the silver screen. In 1914, before Hollywood had a large footprint of permanent studios, filmmakers shot their pictures by repurposing other buildings as sets. It soon became the center of operations for the Jesse L. Lasky Company, which was filming a motion-picture version of the play The Squaw Man.Cecil B. DeMille knew that this barn would make a great addition to the film, the first feature-length movie to be produced in Hollywood. At that point, the barn sat a number of blocks away, near Sunset and Vine. The collaborators continued to operate there as the business grew, eventually swelling into the first home of Paramount Pictures.As operations boomed, the business outgrew its wood-frame confines. But DeMille and company didn’t leave the barn behind. As they moved around Hollywood, and expanded their real estate holdings, they brought the barn with them. By 1926, it had been hauled to a back lot on Melrose Avenue, where Paramount would be building new studios. In the late ’70s, it was firmly out of commission, and was loaded up onto a truck and hauled to a parking lot.In 1985, it finally found a permanent home, near the Hollywood Bowl. Today, it’s a museum, full of archival photos, menus, props, and even a recreation of DeMille’s office, complete with typewriter, film canisters, movie posters, and booze.Also collected are photos and postcards showing the streets and buildings of Tinseltown during its heyday. Once in a while, silent films are shown, and special events called “Evenings at the Barn” feature speakers and screenings, both of which are open to the public.",A little barn in the middle of the city preserving Hollywood treasures since 1985. ,"Samuel Freeman House,Miniature Garden of Whimsy ,High Tower Elevator","2100 North Highland Avenue Los Angeles, California, 90046 United States",34.1086,-118.3361,GenkiLescrosnezmbisonMartin,2010-01-22 00:00:00,"High Tower Elevator,Samuel Freeman House,Miniature Garden of Whimsy ,The Magic Castle","The Outsiders House Museum,The Living Dead Museum,Little World of Marcel Pagnol,The Museum of Western Film History",https://www.atlasobscura.com/places/hollywood-heritage-museum
299,The Root Bridges of Cherrapunji,"long now locations,bridges,trees,plants,architectural oddities,architecture",89,998,"In the depths of northeastern India, within sight of the India-Bangladesh border, in one of the wettest places on earth, bridges aren’t built—they’re grown.The southern Khasi and Jaintia hills are humid and warm, crisscrossed by swift-flowing rivers and mountain streams. On the slopes of these hills, a species of Indian rubber tree with an incredibly strong root system thrives and flourishes.The Ficus elastica produces a series of secondary roots from higher up its trunk and can comfortably perch atop huge boulders along the riverbanks, or even in the middle of the rivers themselves. The War-Khasis and War-Jaintias, two closely related tribes in Meghalaya, long ago noticed this tree and saw in its powerful roots an opportunity to easily cross the area’s many rivers. Now, whenever and wherever the need arises, they simply grow their bridges.In order to make a rubber tree’s roots grow in the right direction—say, over a river—the people of southern Meghalaya have used several different strategies. Sometimes, the roots of the trees are simply pulled, tied, twisted, and encouraged by hand to merge with each other, until, over time, they form the desired architectural structure. Root bridges have also been made by creating scaffolds out of wood and bamboo, and then training the young roots out across these temporary structures, replacing the more perishable elements many times as they rot in the intense monsoon seasons.In some places, such as around the village of Nongriat, betel nut trunks, sliced down the middle and hollowed out, are used to create root-guidance systems. The thin, tender roots of the rubber tree, prevented from fanning out by the betel nut trunks, grow straight out. The trunks also have the added advantage of providing the roots with additional nutrients as they decay. When they reach the other side of the river, they’re allowed to take root in the soil. Given enough time a sturdy, living bridge is produced.The root bridges can grow for as long as the organism they are a part of remains healthy, though they can take many years to initially become functional, the length of time being dependent on local conditions such as the health of the tree, the way the bridge is being grown, and the availability of nutrients in the soil that its being grown in. However, once root bridges become established, they’re extraordinarily strong—strong enough that some of them can support the weight of 50 or more people at a time. In fact, because they are alive and still growing, the bridges actually gain strength over time—and some of the ancient root bridges used daily by the people of the villages around Cherrapunji may be well over 500 years old. The roots bridges of southern Meghalaya come in a huge variety of shapes and sizes. They have been known to grow as long as 170 feet, and soar 80 feet above the streams they cross. Most living root bridges only have a single span, yet several have more than one, arranged as either as two parallel spans,  or as two bridges stacked one over the other, such as the famous “Umshiang Double-Decker Root Bridge.”The practice of creating new living bridges, and of preserving ones already in existence, is over large parts of Southern Meghalaya slowly fading out. In many villages across the region, the root bridges are little more than a memory.  However, since they began attracting attention again in around 2004, local dedication to the bridges has, at least in a few places, kept them from being destroyed in favor of steel ones. What’s more, a few new root bridges are currently under construction. In the village of Rangthylliang, an entirely new bridge is being grown using a bamboo and wood scaffold, and at the double-decker site in Nongriat, a new, third span is currently being grown above the other two, and should be ready for use within a decade.The Atlas Obscura Podcast is a short, daily celebration of all the world’s strange and wondrous places. Check out this episode about the Root Bridges of Cherrapunji.",Centuries-old bridges grown from tangled roots. ,"Lakkatura Tea Garden,Lala Khal,Cherrapunji","Latikynsew Village Cherrapunjee, 793004 India",25.2186,91.6626,bertieinindiadeveshjoshi1990Seth Teicherconnectmbisonpsushant577deveshjoshi1990psushant577cconnectKKangtossprijntjesLeslie McIntyremartofkukufRRickNicholas JacksonmmbisonSeth Teicherwythemichelle,2009-07-22 00:00:00,"Cherrapunji,Lakkatura Tea Garden,Lala Khal,Mayong - The Land of Black Magic","The Treehouse Restaurant at Alnwick Gardens,Tharp’s Log,St. Patrick's Basilica ,Treetop Tower of Rügen ",https://www.atlasobscura.com/places/root-bridges-cherrapungee
300,California Institute of Abnormalarts (CIA),"Unique Restaurants & Bars,shops",383,2852,"This unusual location in North Hollywood is home to strange sideshow displays, musical performances, and other live events that are more difficult to define.Usually classified as “freakshows,” the events, which draw large crowds that don’t have many other venues that cater to them, fit right in with the decor.As you can see in the pictures above, the body of a mummified clown, Achile Chatouilleu, is on display in a sealed glass coffin - still wearing his clown costume and makeup. The pride and joy of the owner, former mortician Carl Crew, it’s claimed that the body is that of a failed U.S. clown leased by the owners.Scattered throughout the building are body parts, including skulls, bones, and petrified limbs. They take their place among other curios and oddities, including circus signage, man-eating monsters, screens showing clips from sci-fi and horror films, and more.",Venue for strange sideshow displays and musical acts. ,"Caioti Pizza Café,Metropolitan Pit Stop,Idle Hour","11334 Burbank Blvd. Los Angeles, California, 91601 United States",34.172,-118.3775,JeshiikpryzkKeri KilgoNicholas JacksonMolly McBride Jacobson,2011-03-23 00:00:00,"Idle Hour,Metropolitan Pit Stop,Caioti Pizza Café,Brady Bunch Home","5 de Mayo Food Market,Carton King Creative Park,Trader Vic's,Mai-Kai Restaurant",https://www.atlasobscura.com/places/california-institute-for-the-abnormalarts-cia
301,Indian Pueblo Kitchen,"pre-columbian,united states,native american cuisine,indigenous,native americans,history",329,999,"In 1976, the 19 tribes that make up New Mexico’s Pueblo population gathered to open Albuquerque’s Indian Pueblo Cultural Center on a patch of Native American land in the center of the city. This serene complex of stucco buildings is an important arena for the preservation of Native American crafts, music, and ceremonies. It’s also a place where all-too-rare pre-Columbian cuisine is sustained and celebrated, on the menu at Indian Pueblo Kitchen.The year 1492—when Christopher Columbus arrived in the Americas—divides the dinner menu. “Post-Contact” options feature all the burgers, salads, and mixed-Mexican options you’d expect from a New Mexican restaurant. The “Pre-Contact” menu, on the other hand, eschews the staple beef, chicken, wheat, butter, sugar, and rice that anchor “American” cuisine altogether; it’s a love letter to New Mexico’s original inhabitants, a smattering of indigenous ingredients upheld and shaped by modern culinary techniques.Diners eating off the Pre-Contact menu can open with a carpaccio, comprised of sumac-seared bison, pickled squash, and pumpkin oil, before moving on to a pot roast of elk shoulder, acorn squash, and wilted wild greens. Another entrée option, the “Tribal Trout,” is pan-seared and served with yam puree, prickly pear syrup, and fried sweet potato strings. Visitors can finish with their wojapi, slow-stewed berries baked under a maple pepita-and-pecan-crumble crust. With its commitment to authenticity, the menu revels in what most modern kitchens might see as a limitation. Indigenous ingredients even spill over into the Post-Contact menu, with dishes such as blue cornmeal–crusted onion rings or salad with fried chicken (also coated in blue cornmeal) and shaved jícama.The menu enacts a collision of the two periods with curios such as fry-bread—reminiscent of the Pueblo Indians’ fat-fried solution to government rations in the 1800s—or fried Kool-Aid pickles, a creative comfort food among the Pueblo.What ingredients the restaurant doesn’t source from local tribes are pulled from the IPCC’s Resilience Garden, a fertile lot where elders teach younger Pueblo generations how to grow endangered crops using traditional farming techniques. The garden is visible from the restaurant’s outdoor patio, which also offers unobstructed views of sprawling plains that open up onto the Sandia Mountains, the sacred centerpiece of an ancient, resilient people.",Eat like pre-Columbian Native Americans in this New Mexico restaurant within the Indian Pueblo Cultural Center. ,"New Mexico Steam Locomotive & Railroad Historical Society, Bow & Arrow Brewing Co.,American International Rattlesnake Museum","2401 12th St NW Albuquerque, New Mexico, 87104 United States",35.1103,-106.659,lukefatericatsstaciptimaginejwigelsworthkatdoerr,2021-09-23 00:00:00,"New Mexico Steam Locomotive & Railroad Historical Society, Bow & Arrow Brewing Co.,American International Rattlesnake Museum,Red Planet Books & Comics","Sagamore John Burial Monument,Owamni,Thirty Nine,Watecha Bowl",https://www.atlasobscura.com/places/pueblo-indian-kitchen
302,Northern State Hospital Farm,"abandoned hospitals,hospitals,farms,parks",268,999,"Established in 1909, the Northern State Hospital for the Mentally Ill was a sprawling and remarkably self-sufficient facility with a number of production facilities including a 700-acre farm.Alongside a lumber mill and quarrying operation, the farm enabled the hospital to support itself. The Northern State Hospital’s farm not only allowed the facility to be self-sufficient, but was even productive enough to help feed other hospitals in the state. The farm had every animal one would expect to see from cows to chickens, and also canning buildings to preserve their stores. In addition to providing food and crops for the facility, the farm also gave the patients a place where they could work and socialize. At its height, the dairy farm was the largest of its kind west of the Mississippi. After the hospital closed in 1973, the farm and its grounds were given to the county to turn into a recreation area. While the hospital buildings are still in use, the farm grounds and their remaining buildings are a public park where visitors can explore the empty barns and milking houses. If decaying buildings aren’t exciting enough, the park also offers Frisbee golf. ",Former farm staffed by mental patients is now a public park. ,"Rock Rings,Skagit-Squatch,Fairhaven Historic Markers","26300-26392 Helmick Road Sedro-Woolley, Washington, 98284 United States",48.5334,-122.193,thendaramarieheayjesscadientewilson01mMartinphilliprleeRachelphilliprleeheayjesscadientedaisyfoxx13qquietdreamZabeEvanswilson01mMMartinRachel,2013-11-28 00:00:00,"Skagit-Squatch,Rock Rings,Fairhaven Historic Markers,SPARK Museum of Electrical Invention","Seaside Sanatorium,Sanctuary Woods,Fergus Falls State Hospital ,Parque Nacional Barranca del Cupatitzio (Cupatitzio Canyon National Park)",https://www.atlasobscura.com/places/northern-state-hospital-farm
303,Craters of the Moon National Monument and Preserve,"craters,cultures and civilizations,geological oddities,natural wonders,geology,nature",1035,997,"A huge preserve located in the Snake River Plain in Central Idaho, Craters of the Moon is protected because of the area’s many volcanic features that represent one of the best preserved flood basalt areas in the continental United States. At an average elevation of nearly 6,000 feet, Craters of the Moon encompasses three major lava fields and nearly 400 square miles of sagebrush steppe grasslands.Visitors flock to this protected area to see the lava fields, which all sit along the Great Rift of Idaho. Some of the open rift cracks are among the best known anywhere in the world, including the deepest rift on Earth, which measures 800 feet. More than two dozen volcanic cones represent lava flows from between 15,000 and 2,000 years ago.Visitors, though, are encouraged to come prepared. This area is rugged, with only one paved road reaching across the northern end. There is a visitor center, and a highway provides access to it, but hiking through the preserve could be dangerous. All of the plants and animals that grow and live in the area are under environmental stress, as it rarely rains in the preserve, and all of the water is immediately lost to the rifts, where it eventually makes its way to the Snake River. Dry winds constantly work their way across the steppe, and the soil temperature can reach 150 degrees Fahrenheit.The preserve also has more than 50 camping sites for visitors. None, though, can be reserved in advance, and they are very basic, including little more than water and trash containers. Campers visit Craters of the Moon in both the summer and the winter, when the Loop Drive is closed to traffic and made available to skiers.While the monument was established way back in May of 1924, the area wasn’t designated the Craters of the Moon National Preserve until August of 2002. Just two years earlier, President Clinton had signed a proclamation that greatly expanded the site to what closely resembles its current shape and size. The area, given its designation, is managed by the National Park Service in cooperation with the Bureau of Land Management.",Home to the deepest rift anywhere on Earth. ,"Experimental Breeder Reactor-I,The Devil Boat,The Hemingway Memorial","Craters of the Moon National Monument and Preserve US 20 Arco, Idaho, 83213",43.4167,-113.5167,sideshowillyNicholas JacksonderukanjiruRedHotRutabagaevilgreentriangleitstomOliverWDahlRedHotRutabagaeevilgreentriangleiitstomCollector of ExperienceserjefferyMagnumPIjjlkirkwoodfalynnkdderukanjiruNicholas Jackson,2011-05-15 00:00:00,"The Devil Boat,Experimental Breeder Reactor-I,The Hemingway Memorial,Ernest Hemingway's Grave","Painted Dunes ,Pingualuit Crater Lake, Prehistoric Trackways National Monument,Vredefort Impact Crater",https://www.atlasobscura.com/places/craters-of-the-moon-national-monument-and-preserve
304,Cascade Springs Nature Preserve,"peculiar fountains,intriguing environs,ghost towns,ecosystems",297,998,"As the Union Army approached Atlanta, the Battle of Utoy Creek was fought, and several trenches remain. (The park offers signposts about the Battle of Utoy Creek.)But despite having been the site of the deaths of hundreds of soldiers, by the turn of the century, the spring waters here were considered to be restorative to one’s health and a small, and an exclusive resort was built there, including a hotel and restaurant. Until the 1950s, the spring water was actually bottled and sold. (The water naturally contains silica, potassium chloride, calcium carbonate, and other minerals said to have some healing effects.) The park lies on Cascade Road is part of the old Native American road known as “Sandtown Road” which connected the Stone Mountain area of Georgia to the Western Alabama border.The land was purchased by the city in the 1970s and contains extensive trails, wildlife, and an outdoor auditorium. Wildlife in the park includes turtles, creek fishes, deer, guinea, and many species of songbird and predatory bird. Ruins include the remains of a pump-house, trenches, a quarry (whose rock was used to build several of the houses nearby), and a beautiful little spring-house with a small moat.The Cascade Springs Nature Preserve is also one of the oldest forests extant in the Atlanta city limits, and features several small springs feeding the sandy shoals of Utoy Creek. The park has a diverse history, and to this day is 120-acres of beauty to visit. Despite its proximity to the perimeter expressway and the city, the preserve remains remarkably clean, and the ruins remarkably picturesque.",Healing Springs that once ran red with soldiers' blood. ,"The Wren’s Nest,Westview Cemetery,Trap Music Museum","2852 Cascade Rd Atlanta, Georgia, 30311 United States",33.7258,-84.4991,maldororambisonCollector of ExperiencesvanrobrobthegenxjourneywythePPatron EditorCollector of ExperiencesNikothegenxjourneyvvanrobrobwhorescopeFirefly7071mmbisonRebekah Ottowythe,2009-07-08 00:00:00,"Westview Cemetery,The Wren’s Nest,Trap Music Museum,Elliott Street Deli & Pub","Fordlândia,Abandoned Pennsylvania Turnpike,Two Guns,Buckner Building",https://www.atlasobscura.com/places/cascade-nature-preserve
